Personne,Variant,CV_ID,Type Erreur,Détails
Camille,21,Camille 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,22,Camille 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,23,Camille 23,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Camille,24,Camille 24,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,25,Camille 25,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Camille,26,Camille 26,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,27,Camille 27,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Camille,28,Camille 28,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,29,Camille 29,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,30,Camille 30,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,31,Camille 31,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,32,Camille 32,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Camille,33,Camille 33,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,34,Camille 34,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
Camille,35,Camille 35,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,36,Camille 36,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,37,Camille 37,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,38,Camille 38,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Camille,39,Camille 39,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Camille,40,Camille 40,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Clara,21,Clara 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
Clara,22,Clara 22,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,23,Clara 23,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
Clara,24,Clara 24,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
