"Name";"Interests-value";"Professional Experiences-value";"Studies-value"
"CV 298";"[{""desc"":null,""title"":""Vertical Farming Research""},{""desc"":null,""title"":""Contemporary Dance""},{""desc"":""Logistics for Food Banks"",""title"":""NGO Volunteering""}]";"[{""dates"":""July 2024 - Present"",""company"":""L'Oréal (Operations HQ)"",""job title"":""Global Procurement Intern"",""description"":""Leading a raw material sourcing project for sustainable packaging; negotiated with 10+ Tier-1 suppliers to reduce plastic waste by 15% while maintaining a 5% cost reduction."",""country or city"":""Paris""},{""dates"":""Jan 2024 - June 2024"",""company"":""Airbus"",""job title"":""Supply Chain Intern"",""description"":""Optimized the A321XLR assembly line buffer stock using Discrete Event Simulation (AnyLogic), reducing inventory holding costs by €250k/year."",""country or city"":""Toulouse""},{""dates"":""2023"",""company"":""Junior Conseil"",""job title"":""Junior Consultant"",""description"":""Performed a logistics audit for a retail SME, improving warehouse picking accuracy from 92% to 98.5%."",""country or city"":""not found""}]";"{""studies"":[{""dates"":""2020 - 2023"",""field"":""not found"",""university"":""INSA Lyon"",""country or city"":""not found"",""level_of_degree"":""BEng in Industrial Engineering & Management""},{""dates"":""not found"",""field"":""Exchange"",""university"":""Georgia Institute of Technology (USA)"",""country or city"":""not found"",""level_of_degree"":""not found""}]}"
"CV 297";"[{""desc"":null,""title"":""Quantitative Macro Trading""},{""desc"":""(Certified Instructor)"",""title"":""Alpine Skiing""},{""desc"":null,""title"":""Historical Numismatics""}]";"[{""dates"":""July 2024 - Present"",""company"":""Deutsche Bank"",""job title"":""Sales & Trading Intern"",""description"":""Assisting the Equity Derivatives desk; developed a Python tool to automate the Greeks' calculation for a portfolio of €500M, reducing reporting latency by 15 minutes."",""country or city"":""Frankfurt""},{""dates"":""Jan 2024 - June 2024"",""company"":""UBS"",""job title"":""Wealth Management Intern"",""description"":""Performed portfolio rebalancing for Ultra-High-Net-Worth (UHNW) clients; conducted ESG integration analysis for a new €100M sustainable mandate."",""country or city"":""Zurich""},{""dates"":""2023"",""company"":""Allianz Global Investors"",""job title"":""Summer Analyst"",""description"":""Back-tested 5 multi-asset strategies using R, identifying a 2% alpha increase in the fixed-income segment."",""country or city"":""not found""}]";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Goethe University Frankfurt"",""country or city"":""not found"",""level_of_degree"":""BSc in Business Administration & Finance""}]}"
"CV 296";"[{""desc"":null,""title"":""Bossa Nova Music""},{""desc"":null,""title"":""Urban Gardening""},{""desc"":null,""title"":""Community Mentorship""}]";"[{""dates"":""2022 - Present"",""company"":""VerdePay"",""job title"":""Co-founder"",""description"":""Developed a micro-loan platform for small-scale sustainable farmers in Brazil; secured $50k in seed funding and scaled to 500 active users."",""country or city"":""not found""},{""dates"":""2023"",""company"":""Natura & Co"",""job title"":""Impact Intern"",""description"":""Analyzed the social ROI (SROI) of the brand's Amazonian bio-diversity preservation programs."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""not found"",""university"":""FGV São Paulo"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""}]"
"CV 295";"[{""desc"":null,""title"":""Chess""},{""desc"":null,""title"":""Geopolitical Strategy Games""},{""desc"":null,""title"":""High-altitude Hiking""}]";"[{""dates"":""Jan 2024 - July 2024"",""company"":""International Energy Agency (IEA), Paris"",""job title"":""Energy Analyst Intern"",""description"":""Compiled data for the 2025 \""World Energy Outlook\"" report; focused on the transition from coal to natural gas in Southeast Asia."",""country or city"":""not found""},{""dates"":""2023"",""company"":""Shell"",""job title"":""Policy Intern"",""description"":""Analyzed the impact of the EU Carbon Border Adjustment Mechanism (CBAM) on global trade."",""country or city"":""not found""}]";"[{""dates"":""2019 - 2023"",""field"":""International Relations & Economics"",""university"":""Leiden University"",""country or city"":""not found"",""level_of_degree"":""BSc""}]"
"CV 294";"[{""desc"":null,""title"":""Classical Ballet""},{""desc"":null,""title"":""Sustainable Fashion Design""},{""desc"":null,""title"":""Contemporary Art History""}]";"[{""dates"":""June 2024 - Present"",""company"":""Hermès (HQ)"",""job title"":""PR & Communications Intern"",""description"":""Coordinating the \""Le Monde d'Hermès\"" international magazine distribution; managing press relations with 30+ editors across the EMEA region."",""country or city"":""Paris""},{""dates"":""2023"",""company"":""Chanel"",""job title"":""Retail Intern"",""description"":""Assisted the boutique manager in VIP clienteling and showroom inventory management."",""country or city"":""Hong Kong""}]";"[{""dates"":""2021 - 2024"",""field"":""Luxury Brand Equity"",""university"":""ESSEC Business School"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""}]"
"CV 293";"null";"[{""dates"":""July 2024 - Present"",""company"":""Lazard"",""job title"":""M&A Analyst Intern"",""description"":""Supporting a €1.5B cross-border acquisition in the Industrials sector; built a comprehensive 3-statement model and performed DCF and Trading Multiples valuations."",""country or city"":""Milan""},{""dates"":""2023"",""company"":""UniCredit"",""job title"":""Summer Analyst"",""description"":""Worked on 5 debt refinancing mandates for mid-cap Italian firms."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""Corporate Valuation"",""university"":""Bocconi University"",""country or city"":""not found"",""level_of_degree"":""BSc in International Economics and Finance""}]"
"CV 292";"[{""desc"":""(Prabhakar level)"",""title"":""Kathak Dance""},{""desc"":""(10k followers)"",""title"":""Food Photography""},{""desc"":null,""title"":""Fintech Policy""}]";"[{""dates"":""June 2024 - Present"",""company"":""Google"",""job title"":""Digital Marketing Intern"",""description"":""Managing a $100k/month YouTube ad campaign for Google Pixel; optimized bidding strategies using automated scripts, leading to a 15% reduction in Customer Acquisition Cost (CAC)."",""country or city"":""Bangalore""},{""dates"":""2023"",""company"":""Zomato"",""job title"":""Growth Intern"",""description"":""Analyzed customer churn data to design a re-engagement loyalty program that reactivated 50k+ users."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""Econometrics and Consumer Behavior"",""university"":""St. Stephen's College, Delhi"",""country or city"":""not found"",""level_of_degree"":""BA in Economics""}]"
"CV 291";"[{""desc"":null,""title"":""Rugby""},{""desc"":null,""title"":""Restoration of vintage engines""},{""desc"":null,""title"":""Sustainable Urbanism""}]";"[{""dates"":""Jan 2024 - July 2024"",""company"":""Tesla (Gigafactory Berlin)"",""job title"":""Operations Intern"",""description"":""Redesigned the robotic arm calibration sequence on the Model Y assembly line, reducing cycle time by 12 seconds per unit."",""country or city"":""not found""},{""dates"":""2023"",""company"":""Amazon"",""job title"":""Logistics Intern"",""description"":""Optimized the \""last-mile\"" delivery routes in Dublin using SQL and Python, reducing fuel costs by 7%."",""country or city"":""not found""}]";"[{""dates"":""2020 - 2023"",""field"":""Robotics and Production Systems"",""university"":""Trinity College Dublin"",""country or city"":""not found"",""level_of_degree"":""BEng in Mechanical and Manufacturing Engineering""}]"
"CV 290";"[{""desc"":""(National Champion)"",""title"":""Debating""},{""desc"":null,""title"":""International Law""},{""desc"":null,""title"":""Documentary Filmmaking""}]";"[{""dates"":""June 2024 - Present."",""company"":""Boston Consulting Group (BCG)"",""job title"":""Strategy Intern"",""description"":""Working on a market-entry strategy for a European Neobank expanding into LATAM; performed com-\npetitive benchmarking and regulatory analysis for 4 countries."",""country or city"":""Madrid""},{""dates"":""2023."",""company"":""Spanish Ministry of Foreign Affairs"",""job title"":""Summer Intern"",""description"":""Drafted briefing notes for the EU Presidency meetings."",""country or city"":""not found""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Universidad Carlos III de Madrid"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Philosophy, Politics, and Economics (PPE)""},{""dates"":""not found"",""field"":""Exchange Year"",""university"":""Sciences Po Paris"",""country or city"":""not found"",""level_of_degree"":""not found""}]"
"CV 289";"[{""desc"":null,""title"":""Go (Weiqi) Strategy""},{""desc"":null,""title"":""Robotics (RoboCup)""},{""desc"":null,""title"":""Tech Hardware Architecture""}]";"[{""dates"":""July 2023 - July 2024"",""company"":""Deloitte Tohmatsu"",""job title"":""AI Consultant Intern"",""description"":""Led a Proof of Concept (PoC) for a retail client using Generative AI to automate customer service inquiries, achieving an 85% intent recognition accuracy."",""country or city"":""Tokyo""},{""dates"":""2022"",""company"":""Rakuten"",""job title"":""Data Analyst Intern"",""description"":""Optimized the search ranking algorithm for the \""Travel\"" division, resulting in a 5% increase in conversion rate (CVR)."",""country or city"":""not found""}]";"[{""dates"":""2019 - 2023"",""field"":""Artificial Intelligence and Operations Research"",""university"":""Waseda University"",""country or city"":""not found"",""level_of_degree"":""BEng in Computer Science""}]"
