Personne,Variant,CV_ID,Type Erreur,Détails
Amelie,17,Amelie 17,Modification,The 'List of studies' section contains a modification in the date for the 'Lycée Louis-le-Grand' entry. The Reference lists '2022' while the Extraction lists '2021 - 2022'.
Amelie,18,Amelie 18,Modification,The field of study for the French Baccalauréat is modified from 'Economics & Sciences' to 'not found'. The interest 'Yoga & Mindfulness' is modified to 'Wellness'.
Camille,29,Camille 29,Omission,The 'Culture' interest is missing from the Extraction.
Camille,38,Camille 38,Omission,The personal interest 'Culture' is missing from the Extraction.
Hugo,11,Hugo 11,Omission,The personal interest 'Marathon training' is missing in the Extraction.
Ines,12,Ines 12,Omission,The volunteering activity 'Tutor for underprivileged high school students in economics' is missing from the 'List of professional experiences' in the Extraction.
Ines,15,Ines 15,Omission,The volunteering experience as a tutor for underprivileged high school students in economics is missing from the List of professional experiences in the Extraction.
Louis,21,Louis 21,Omission,The 'Data Visualization' personal interest is missing in the Extraction.
Sarah,32,Sarah 32,Omission,The 'Cultural Trends' interest is missing from the Extraction.
Thomasg,37,Thomasg 37,Omission,The 'List of studies' in the Extraction is missing the 'French Baccalauréat' from Lycée Clémenceau present in the Reference.
Thomasg,38,Thomasg 38,Omission,The study at Lycée Clémenceau with a French Baccalauréat in Mathematics & Economics is missing from the Extraction.
Thomasl,33,Thomasl 33,Omission,The 'Tech' interest is missing from the Extraction.
Thomasl,37,Thomasl 37,Omission,The 'Tech' interest is missing from the Extraction.
Thomasl,38,Thomasl 38,Omission,The 'Tech' interest is missing from the Extraction.
Thomasl,39,Thomasl 39,Omission,The 'Sports' and 'Tech' personal interests are missing from the Extraction.
